id,name,city,province,lat,lng,nature,wildlife,culture,adventure,beach,food,shopping,history,religious,activityCost,visitDuration,popularity,recommendedSeason,description
sigiriya,Sigiriya Rock Fortress,Sigiriya,Central,7.9572,80.7603,4,2,5,4,1,1,1,5,1,10800,4.0,98,Year round,5th-century royal rock citadel with frescoes and summit gardens.
tooth_relic,Temple of the Sacred Tooth Relic,Kandy,Central,7.2936,80.6413,2,1,5,1,1,2,3,5,5,2000,2.5,96,Year round,Venerated shrine housing Lord Buddha's tooth relic.
dambulla_cave,Dambulla Royal Cave Temple,Dambulla,Central,7.8567,80.6492,3,2,5,2,1,1,2,5,5,2000,3.0,92,Year round,Five cavernous rock temples with 153 Buddha statues.
horton_plains,Horton Plains & World's End,Nuwara Eliya,Central,6.8096,80.8004,5,4,1,5,1,1,1,1,1,12000,5.0,89,Jan - Mar,High montane plateau loop trail leading to World's End escarpment.
nuwara_eliya_town,Nuwara Eliya Hill Station,Nuwara Eliya,Central,6.9497,80.7891,5,2,3,3,1,4,3,4,1,3500,4.0,91,Mar - May,Colonial hill station known as Little England surrounded by tea slopes.
pidurangala,Pidurangala Rock,Sigiriya,Central,7.9673,80.7675,5,2,3,5,1,1,1,3,2,1000,3.0,90,Year round,Panoramiic summit outcrop offering full views of Sigiriya Rock.
peradeniya_gardens,Royal Botanical Gardens Peradeniya,Kandy,Central,7.2683,80.5964,5,3,3,2,1,2,2,4,1,3000,3.5,88,Year round,147-acre botanical park renowned for orchids and giant bamboo.
knuckles_range,Knuckles Mountain Range,Matale,Central,7.4667,80.7833,5,4,2,5,1,1,1,1,1,6000,7.0,82,Jun - Sep,UNESCO cloud forest mountain biosphere for trekking and waterfalls.
ramboda_falls,Ramboda Falls,Nuwara Eliya,Central,7.0542,80.6975,5,1,1,3,1,2,1,1,1,500,2.0,84,Year round,109m high multi-tiered waterfall along the mountain highway.
riverston,Riverston Peak & Pitawala Pathana,Matale,Central,7.5283,80.7386,5,3,1,4,1,1,1,1,1,1500,4.5,80,Year round,Windy mountain gap and mini World's End cliff in Matale.
ambewela_farm,Ambewela New Zealand Dairy Farm,Nuwara Eliya,Central,6.8786,80.8142,4,3,1,2,1,4,2,1,1,1000,2.5,85,Year round,Highland dairy cattle pasture known as Little New Zealand.
gregory_lake,Gregory Lake & Park,Nuwara Eliya,Central,6.9536,80.7831,4,1,1,3,1,3,2,2,1,500,2.5,87,Year round,"Scenic lake park with jet-skiing, swan boats and horse rides."
bakers_falls,Baker's Falls,Nuwara Eliya,Central,6.8014,80.7967,5,2,1,4,1,1,1,1,1,500,2.0,83,Jan - Mar,Famous 20m high waterfall inside Horton Plains National Park.
st_clairs_falls,St. Clair's Falls (Little Niagara),Nuwara Eliya,Central,6.9458,80.6386,5,1,1,2,1,1,1,1,1,0,1.5,86,Year round,Widest waterfall in Sri Lanka running through tea plantations.
devon_falls,Devon Falls,Nuwara Eliya,Central,6.9531,80.6278,5,1,1,2,1,1,1,1,1,0,1.5,85,Year round,97m high cascading waterfall viewable from the Hatton highway.
kandy_lake,Kandy Lake (Bogambara Wewa),Kandy,Central,7.2917,80.6389,4,1,3,2,1,2,2,4,1,0,1.5,88,Year round,Central artificial lake created in 1807 by King Sri Wickrama Rajasinghe.
udawatta_kele,Udawatta Kele Sanctuary,Kandy,Central,7.2986,80.6458,5,4,2,3,1,1,1,3,1,1500,3.0,79,Year round,Historic forest reserve above Kandy Temple rich in bird species.
aluvihare,Aluvihare Rock Temple,Matale,Central,7.4878,80.6231,3,1,5,2,1,1,1,5,5,500,2.0,78,Year round,Cave temple where the Buddhist Pali Canon was first written down.
sembuwatta,Sembuwatta Lake & Pine Forest,Matale,Central,7.4417,80.6972,5,1,1,3,1,2,1,1,1,1000,3.0,84,Year round,Man-made mountain lake surrounded by pine forests and tea slopes.
gadaladeniya,Gadaladeniya Vihara,Gampola,Central,7.2583,80.5564,2,1,5,1,1,1,1,5,4,500,1.5,75,Year round,14th-century South Indian stone architecture temple near Kandy.
lankatilaka,Lankatilaka Vihara,Gampola,Central,7.2306,80.5647,3,1,5,2,1,1,1,5,4,500,2.0,77,Year round,Majestic 14th-century temple built atop the Rock of Panhalgala.
embekke,Embekke Devalaya (Wood Carvings),Gampola,Central,7.2181,80.5678,2,1,5,1,1,1,2,5,3,500,2.0,80,Year round,14th-century shrine famous for intricate wooden pillar carvings.
nawalapitiya_view,Nawalapitiya Cable Bridge & Hills,Nawalapitiya,Central,7.05,80.5333,4,1,1,3,1,1,1,1,1,0,2.0,72,Year round,Riverside hill town famous for tea estates and suspension bridges.
